"tumor_rad [mm]","Freq [GHz]","dB(St(pin_T1,pin_T1)) []"
1,19.525,-9.6762960864196
1,19.5725,-9.3964354182173
1,19.62,-9.11275821376628
1,19.6675,-8.82533250701033
1,19.715,-8.53420846363429
1,19.7625,-8.23945312300123
1,19.81,-7.94118375867925
1,19.8575,-7.63959939048297
1,19.905,-7.3350097743744
1,19.9525,-7.02786097471859
1,20,-6.71875641575229
1.5,1,-0.000654503405338154
1.5,1.0475,-0.000750557404643139
1.5,1.095,-0.00084892211285639
1.5,1.1425,-0.000949386717305475
1.5,1.19,-0.0010517449863628
1.5,1.2375,-0.00115579611585851
1.5,1.285,-0.001261345486129
1.5,1.3325,-0.00136820532936993
1.5,1.38,-0.00147619530832858
1.5,1.4275,-0.00158514300818483
